                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                 1.2532,                0.71407,                 1.0755,                0.85632,                0.73315,                0.82243,                0.49607,                 1.1189,                0.56856,                 1.0382,              0.0074013,              0.0074013,              0.0074013
                    107,                 1.2644,                0.72085,                 1.0777,                0.84909,                0.72849,                0.81852,                 0.4989,                 1.1233,                0.55958,                 1.0369,              0.0073765,              0.0073765,              0.0073765
                    108,                 1.2515,                0.71788,                 1.0792,                0.93273,                0.67881,                0.82295,                0.49758,                 1.1298,                0.55783,                 1.0397,              0.0073517,              0.0073517,              0.0073517
                    109,                 1.2531,                 0.7132,                 1.0822,                0.86317,                0.72198,                0.82802,                0.49942,                 1.1239,                0.55955,                 1.0328,               0.007327,               0.007327,               0.007327
                    110,                 1.2406,                0.70377,                  1.073,                0.88012,                0.70217,                0.82954,                0.50165,                 1.1341,                0.55349,                 1.0352,              0.0073023,              0.0073023,              0.0073023
                    111,                 1.2487,                0.71016,                 1.0791,                0.86148,                0.74078,                0.83272,                0.50445,                 1.1273,                0.54634,                  1.031,              0.0072775,              0.0072775,              0.0072775
                    112,                  1.243,                0.70096,                 1.0781,                0.84318,                0.75098,                0.82605,                 0.5039,                 1.1361,                0.54807,                 1.0296,              0.0072527,              0.0072527,              0.0072527
                    113,                  1.256,                0.70349,                 1.0799,                 0.8541,                 0.7307,                0.82472,                 0.5041,                 1.1354,                  0.549,                 1.0271,               0.007228,               0.007228,               0.007228
                    114,                  1.258,                0.71053,                 1.0795,                0.86365,                 0.7285,                0.82351,                0.50342,                 1.1409,                0.54909,                 1.0292,              0.0072033,              0.0072033,              0.0072033
                    115,                 1.2361,                0.71049,                 1.0695,                 0.8879,                 0.7049,                 0.8183,                0.50005,                 1.1402,                0.54626,                 1.0307,              0.0071785,              0.0071785,              0.0071785
                    116,                 1.2344,                0.69449,                 1.0726,                  0.905,                0.70053,                0.81887,                0.50509,                 1.1405,                0.54993,                 1.0287,              0.0071538,              0.0071538,              0.0071538
                    117,                 1.2495,                0.71268,                 1.0824,                0.88167,                0.71362,                0.81846,                0.50357,                 1.1428,                0.55315,                 1.0314,               0.007129,               0.007129,               0.007129
                    118,                 1.2495,                 0.7083,                 1.0813,                0.88515,                0.72344,                0.81866,                0.50058,                 1.1474,                0.55649,                 1.0329,              0.0071042,              0.0071042,              0.0071042
